"form_sheet";"form_field_group";"form_field";"col";"row";"requirement";"element";"description";"format";"code_list_name";"input_value";"comment";"1DR";"1IN";"1RC";"1DI";"3CE";"3BU";"3DA";"4SF";"2FC";"5MB";"6LG";"7PR";"ROS-GN";"ROS-LL";"ROS-PL";"ROS-PS"
"metadata";"Liaison officer";"Full name";"D";9;"M";"Liaison officer full name";"Name of the liaison officer in charge of the compilation of the data";"String";;"e.g., `John Doe`";;;;;TRUE;;;;;;;;;;;;
"metadata";"Liaison officer";"email";"D";10;"M";"Liaison officer email";"Email address of the liaison officer in charge of the compilation of the data";"Valid email address";;"e.g., `John.Doe@fao.org`";;;;;TRUE;;;;;;;;;;;;
"metadata";"Organisation";"Name";"G";9;"M";"Organisation name";"Name of the organisation in charge of the compilation of the data";"String";;"e.g.,`Institute of Fisheries`";;;;;TRUE;;;;;;;;;;;;
"metadata";"Organisation";"email";"G";10;"O";"Organisation email";"Email address of the organisation in charge of the compilation of the data";"Valid email address";;"e.g.,`nif@gov.sc`";;;;;TRUE;;;;;;;;;;;;
"metadata";;"Finalisation date";"D";12;"M";"Finalisation date";"Date of finalisation of the dataset";"[ISO 8601](https://en.wikipedia.org/wiki/ISO_8601)";;"e.g.,`1996-03-27`";;;;;TRUE;;;;;;;;;;;;
"metadata";;"Submission date";"D";13;"O";"Submission date";"Date of submission of the dataset";"[ISO 8601](https://en.wikipedia.org/wiki/ISO_8601)";;"e.g., `1997-03-21`";;;;;TRUE;;;;;;;;;;;;
"metadata";"General information";"Reporting year";"D";18;"M";"Reporting year";"Gregorian calendar year of the fishing activities reported through the dataset";"4-digit integer";;"e.g., `1996`";;;;;TRUE;;;;;;;;;;;;
"metadata";"General information";"Reporting entity";"D";19;"M";"Reporting entity";"Three-letter (alpha-3) code of the entity reporting the dataset to the IOTC Secretariat";"String";"ENTITIES";"e.g., `EUR`";;;;;TRUE;;;;;;;;;;;;
"metadata";"General information";"Flag state";"D";20;"M";"Flag state";"Three-letter (alpha-3) code of the country registration of the fishery vessels";"String";"COUNTRIES";"e.g., `ESP`";;;;;TRUE;;;;;;;;;;;;
"metadata";;;;;"M";"Original data type";"Preliminary/final status of the data";"Code from [Types of data](#types)";;"e.g., `FI`";;;;;FALSE;;;;;;;;;;;;
"data";"Main elements";;;;"M";"Vessel name";"Name of the purse seine vessel as available from the IOTC Record of Authorised Vessel ([RAV](https://rav.iotc.org/))";"String";;"e.g., `DRENNEC`";;;;;FALSE;;;;;;;;;;;;
"data";"Main elements";;;;"M";"Vessel IOTC number";"IOTC registered number of the purse seine vessel as available from the IOTC Record of Authorised Vessel ([RAV](https://rav.iotc.org/))";"String";;"e.g., `IOTC018542`";;;;;FALSE;;;;;;;;;;;;
"data";"Main elements";;;;"M";"Day of the month";"Day of the month of the fishing activities reported through the dataset";"Integer";;"e.g., `23`";;;;;FALSE;;;;;;;;;;;;
"data";"Main elements";;;;"M";"UTC time";"The date and time at which the drifting floating object was visited in Coordinated Universal Time ([UTC](https://en.wikipedia.org/wiki/Coordinated_Universal_Time))";"[ISO 8601](https://en.wikipedia.org/wiki/ISO_8601) [YYYY-MM-DDTHH:MMZ]";;"e.g., `2025-09-15T12:00Z`";;;;;FALSE;;;;;;;;;;;;
"data";"Main elements";;;;"M";"Latitude";"The latitude of the drifting floating object location, expressed in decimal degrees according to the WGS 84 reference system (EPSG:4326). Recommended precision: four decimal places (~10 m)";"[ISO 6709](https://en.wikipedia.org/wiki/ISO_6709) [+/-DD.DDDD]";;"e.g., `-20.8854`";;;;;FALSE;;;;;;;;;;;;
"data";"Main elements";;;;"M";"Longitude";"The longitude of the drifting floating object location, expressed in decimal degrees according to the WGS 84 reference system (EPSG:4326). Recommended precision: four decimal places (~10 m)";"[ISO 6709](https://en.wikipedia.org/wiki/ISO_6709) [+/-DDD.DDDD]";;"e.g., `55.5312`";;;;;FALSE;;;;;;;;;;;;
"data";"Buoy";;;;"M";"Present";"Indicates whether a buoy is attached to the drifting floating object";;;"e.g., `N`";;;;;FALSE;;;;;;;;;;;;
"data";"Buoy";;;;"M";"Identifier";"Unique identifier of buoy monitored generally composed of the concatenation of the buoy model with with 5-9 digits";"String";;"e.g., `SLX328501`";;;;;FALSE;;;;;;;;;;;;
